Name, Time, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness
kernel12x24,0.0258119,1,1000,1000,1000,240,240,240,1
kernel12x32,0.0246501,1,1000,1000,1000,240,240,240,1
kernel8x16,0.403777,4,2000,2000,2000,240,240,240,1
kernel14x8,0.424088,4,2000,2000,2000,240,240,240,1
kernel4x12,0.490791,4,2000,2000,2000,240,240,240,1
kernel10x12,0.440891,4,2000,2000,2000,240,240,240,1
kernel14x16,0.621048,4,2000,2000,2000,240,240,240,1
kernel18x20,0.636008,4,2000,2000,2000,240,240,240,1
kernel12x24,0.617426,4,2000,2000,2000,240,240,240,1
kernel12x32,0.631615,4,2000,2000,2000,240,240,240,1
kernel8x16,0.031504,1,1000,1000,1000,240,240,480,1
kernel14x8,0.0285421,1,1000,1000,1000,240,240,480,1
kernel4x12,0.0335979,1,1000,1000,1000,240,240,480,1
kernel10x12,0.0286019,1,1000,1000,1000,240,240,480,1
kernel14x16,0.041647,1,1000,1000,1000,240,240,480,1
kernel18x20,0.0415719,1,1000,1000,1000,240,240,480,1
kernel12x24,0.0416584,1,1000,1000,1000,240,240,480,1
kernel12x32,0.0413726,1,1000,1000,1000,240,240,480,1
kernel8x16,0.427264,4,2000,2000,2000,240,240,480,1
kernel14x8,0.432395,4,2000,2000,2000,240,240,480,1
kernel4x12,0.552025,4,2000,2000,2000,240,240,480,1
kernel10x12,0.45771,4,2000,2000,2000,240,240,480,1
kernel14x16,0.65324,4,2000,2000,2000,240,240,480,1
kernel18x20,0.65278,4,2000,2000,2000,240,240,480,1
kernel12x24,0.654866,4,2000,2000,2000,240,240,480,1
kernel12x32,0.65999,4,2000,2000,2000,240,240,480,1
kernel8x16,0.0210701,1,1000,1000,1000,240,480,120,1
kernel14x8,0.0192826,1,1000,1000,1000,240,480,120,1
kernel4x12,0.0210978,1,1000,1000,1000,240,480,120,1
kernel10x12,0.0187017,1,1000,1000,1000,240,480,120,1
kernel14x16,0.0249875,1,1000,1000,1000,240,480,120,1
kernel18x20,0.0259923,1,1000,1000,1000,240,480,120,1
kernel12x24,0.0256063,1,1000,1000,1000,240,480,120,1
kernel12x32,0.023785,1,1000,1000,1000,240,480,120,1
kernel8x16,0.409321,4,2000,2000,2000,240,480,120,1
kernel14x8,0.438416,4,2000,2000,2000,240,480,120,1
kernel4x12,0.49105,4,2000,2000,2000,240,480,120,1
kernel10x12,0.444296,4,2000,2000,2000,240,480,120,1
kernel14x16,0.631203,4,2000,2000,2000,240,480,120,1
kernel18x20,0.647591,4,2000,2000,2000,240,480,120,1
kernel12x24,0.63668,4,2000,2000,2000,240,480,120,1
kernel12x32,0.653995,4,2000,2000,2000,240,480,120,1
kernel8x16,0.0306897,1,1000,1000,1000,240,480,240,1
kernel14x8,0.0196804,1,1000,1000,1000,240,480,240,1
kernel4x12,0.022726,1,1000,1000,1000,240,480,240,1
kernel10x12,0.0204229,1,1000,1000,1000,240,480,240,1
kernel14x16,0.0271469,1,1000,1000,1000,240,480,240,1
kernel18x20,0.0265769,1,1000,1000,1000,240,480,240,1
kernel12x24,0.027088,1,1000,1000,1000,240,480,240,1
kernel12x32,0.0247516,1,1000,1000,1000,240,480,240,1
kernel8x16,0.418021,4,2000,2000,2000,240,480,240,1
kernel14x8,0.431093,4,2000,2000,2000,240,480,240,1
kernel4x12,0.503228,4,2000,2000,2000,240,480,240,1
kernel10x12,0.440601,4,2000,2000,2000,240,480,240,1
kernel14x16,0.624493,4,2000,2000,2000,240,480,240,1
kernel18x20,0.642319,4,2000,2000,2000,240,480,240,1
kernel12x24,0.633244,4,2000,2000,2000,240,480,240,1
kernel12x32,0.648289,4,2000,2000,2000,240,480,240,1
kernel8x16,0.0353914,1,1000,1000,1000,240,480,480,1
kernel14x8,0.028894,1,1000,1000,1000,240,480,480,1
kernel4x12,0.0337791,1,1000,1000,1000,240,480,480,1
kernel10x12,0.0299205,1,1000,1000,1000,240,480,480,1
kernel14x16,0.0424056,1,1000,1000,1000,240,480,480,1
kernel18x20,0.0421026,1,1000,1000,1000,240,480,480,1
kernel12x24,0.0412248,1,1000,1000,1000,240,480,480,1
kernel12x32,0.0418544,1,1000,1000,1000,240,480,480,1
kernel8x16,0.432395,4,2000,2000,2000,240,480,480,1
kernel14x8,0.448371,4,2000,2000,2000,240,480,480,1
kernel4x12,0.554962,4,2000,2000,2000,240,480,480,1
kernel10x12,0.463958,4,2000,2000,2000,240,480,480,1
kernel14x16,0.652502,4,2000,2000,2000,240,480,480,1
kernel18x20,0.654655,4,2000,2000,2000,240,480,480,1
kernel12x24,0.655925,4,2000,2000,2000,240,480,480,1
kernel12x32,0.658279,4,2000,2000,2000,240,480,480,1
kernel8x16,0.0186122,1,1000,1000,1000,480,120,120,1
kernel14x8,0.0178505,1,1000,1000,1000,480,120,120,1
kernel4x12,0.0212458,1,1000,1000,1000,480,120,120,1
kernel10x12,0.0182968,1,1000,1000,1000,480,120,120,1
kernel14x16,0.0237347,1,1000,1000,1000,480,120,120,1
kernel18x20,0.0253354,1,1000,1000,1000,480,120,120,1
kernel12x24,0.0239726,1,1000,1000,1000,480,120,120,1
kernel12x32,0.0236773,1,1000,1000,1000,480,120,120,1
kernel8x16,0.394021,4,2000,2000,2000,480,120,120,1
kernel14x8,0.410153,4,2000,2000,2000,480,120,120,1
kernel4x12,0.477345,4,2000,2000,2000,480,120,120,1
kernel10x12,0.435502,4,2000,2000,2000,480,120,120,1
kernel14x16,0.615193,4,2000,2000,2000,480,120,120,1
kernel18x20,0.629472,4,2000,2000,2000,480,120,120,1
kernel12x24,0.631931,4,2000,2000,2000,480,120,120,1
kernel12x32,0.631923,4,2000,2000,2000,480,120,120,1
kernel8x16,0.0201822,1,1000,1000,1000,480,120,240,1
kernel14x8,0.0266431,1,1000,1000,1000,480,120,240,1
kernel4x12,0.0309058,1,1000,1000,1000,480,120,240,1
kernel10x12,0.0267332,1,1000,1000,1000,480,120,240,1
kernel14x16,0.0393441,1,1000,1000,1000,480,120,240,1
kernel18x20,0.0389591,1,1000,1000,1000,480,120,240,1
kernel12x24,0.03915,1,1000,1000,1000,480,120,240,1
kernel12x32,0.036825,1,1000,1000,1000,480,120,240,1
kernel8x16,0.404755,4,2000,2000,2000,480,120,240,1
kernel14x8,0.424767,4,2000,2000,2000,480,120,240,1
kernel4x12,0.542799,4,2000,2000,2000,480,120,240,1
kernel10x12,0.443716,4,2000,2000,2000,480,120,240,1
kernel14x16,0.623595,4,2000,2000,2000,480,120,240,1
kernel18x20,0.639008,4,2000,2000,2000,480,120,240,1
kernel12x24,0.627749,4,2000,2000,2000,480,120,240,1
kernel12x32,0.644451,4,2000,2000,2000,480,120,240,1
kernel8x16,0.0233728,1,1000,1000,1000,480,120,480,1
kernel14x8,0.0363605,1,1000,1000,1000,480,120,480,1
kernel4x12,0.0398494,1,1000,1000,1000,480,120,480,1
kernel10x12,0.0335721,1,1000,1000,1000,480,120,480,1
kernel14x16,0.0448359,1,1000,1000,1000,480,120,480,1
kernel18x20,0.0455779,1,1000,1000,1000,480,120,480,1
kernel12x24,0.0460193,1,1000,1000,1000,480,120,480,1
kernel12x32,0.046608,1,1000,1000,1000,480,120,480,1
kernel8x16,0.420052,4,2000,2000,2000,480,120,480,1
kernel14x8,0.507418,4,2000,2000,2000,480,120,480,1
kernel4x12,0.654378,4,2000,2000,2000,480,120,480,1
kernel10x12,0.512274,4,2000,2000,2000,480,120,480,1
kernel14x16,0.716236,4,2000,2000,2000,480,120,480,1
kernel18x20,0.656811,4,2000,2000,2000,480,120,480,1
kernel12x24,0.694344,4,2000,2000,2000,480,120,480,1
kernel12x32,0.676926,4,2000,2000,2000,480,120,480,1
kernel8x16,0.0208074,1,1000,1000,1000,480,240,120,1
kernel14x8,0.0190371,1,1000,1000,1000,480,240,120,1
kernel4x12,0.0217817,1,1000,1000,1000,480,240,120,1
kernel10x12,0.0193317,1,1000,1000,1000,480,240,120,1
kernel14x16,0.0238975,1,1000,1000,1000,480,240,120,1
kernel18x20,0.024505,1,1000,1000,1000,480,240,120,1
kernel12x24,0.0250247,1,1000,1000,1000,480,240,120,1
kernel12x32,0.0235413,1,1000,1000,1000,480,240,120,1
kernel8x16,0.398019,4,2000,2000,2000,480,240,120,1
kernel14x8,0.428251,4,2000,2000,2000,480,240,120,1
kernel4x12,0.483262,4,2000,2000,2000,480,240,120,1
kernel10x12,0.440657,4,2000,2000,2000,480,240,120,1
kernel14x16,0.626045,4,2000,2000,2000,480,240,120,1
kernel18x20,0.643034,4,2000,2000,2000,480,240,120,1
kernel12x24,0.632577,4,2000,2000,2000,480,240,120,1
kernel12x32,0.641494,4,2000,2000,2000,480,240,120,1
kernel8x16,0.023602,1,1000,1000,1000,480,240,240,1
kernel14x8,0.0271673,1,1000,1000,1000,480,240,240,1
kernel4x12,0.0315853,1,1000,1000,1000,480,240,240,1
kernel10x12,0.0273042,1,1000,1000,1000,480,240,240,1
kernel14x16,0.0380534,1,1000,1000,1000,480,240,240,1
kernel18x20,0.039246,1,1000,1000,1000,480,240,240,1
kernel12x24,0.0399973,1,1000,1000,1000,480,240,240,1
kernel12x32,0.0384439,1,1000,1000,1000,480,240,240,1
kernel8x16,0.418515,4,2000,2000,2000,480,240,240,1
kernel14x8,0.419122,4,2000,2000,2000,480,240,240,1
kernel4x12,0.547912,4,2000,2000,2000,480,240,240,1
kernel10x12,0.439569,4,2000,2000,2000,480,240,240,1
kernel14x16,0.632223,4,2000,2000,2000,480,240,240,1
kernel18x20,0.643717,4,2000,2000,2000,480,240,240,1
kernel12x24,0.641148,4,2000,2000,2000,480,240,240,1
kernel12x32,0.640209,4,2000,2000,2000,480,240,240,1
kernel8x16,0.0322721,1,1000,1000,1000,480,240,480,1
kernel14x8,0.0367788,1,1000,1000,1000,480,240,480,1
kernel4x12,0.0399136,1,1000,1000,1000,480,240,480,1
kernel10x12,0.0344572,1,1000,1000,1000,480,240,480,1
kernel14x16,0.0446941,1,1000,1000,1000,480,240,480,1
kernel18x20,0.0449091,1,1000,1000,1000,480,240,480,1
kernel12x24,0.0458853,1,1000,1000,1000,480,240,480,1
kernel12x32,0.0464636,1,1000,1000,1000,480,240,480,1
kernel8x16,0.424654,4,2000,2000,2000,480,240,480,1
kernel14x8,0.50304,4,2000,2000,2000,480,240,480,1
kernel4x12,0.636394,4,2000,2000,2000,480,240,480,1
kernel10x12,0.510074,4,2000,2000,2000,480,240,480,1
kernel14x16,0.716933,4,2000,2000,2000,480,240,480,1
kernel18x20,0.659906,4,2000,2000,2000,480,240,480,1
kernel12x24,0.692939,4,2000,2000,2000,480,240,480,1
kernel12x32,0.672007,4,2000,2000,2000,480,240,480,1
kernel8x16,0.0214863,1,1000,1000,1000,480,480,120,1
kernel14x8,0.0194254,1,1000,1000,1000,480,480,120,1
kernel4x12,0.02142,1,1000,1000,1000,480,480,120,1
kernel10x12,0.0195643,1,1000,1000,1000,480,480,120,1
kernel14x16,0.0250268,1,1000,1000,1000,480,480,120,1
kernel18x20,0.0266739,1,1000,1000,1000,480,480,120,1
kernel12x24,0.025765,1,1000,1000,1000,480,480,120,1
kernel12x32,0.0247665,1,1000,1000,1000,480,480,120,1
kernel8x16,0.409906,4,2000,2000,2000,480,480,120,1
kernel14x8,0.436777,4,2000,2000,2000,480,480,120,1
kernel4x12,0.495135,4,2000,2000,2000,480,480,120,1
kernel10x12,0.452489,4,2000,2000,2000,480,480,120,1
kernel14x16,0.632613,4,2000,2000,2000,480,480,120,1
kernel18x20,0.650071,4,2000,2000,2000,480,480,120,1
kernel12x24,0.632362,4,2000,2000,2000,480,480,120,1
kernel12x32,0.648304,4,2000,2000,2000,480,480,120,1
kernel8x16,0.0310522,1,1000,1000,1000,480,480,240,1
kernel14x8,0.0281372,1,1000,1000,1000,480,480,240,1
kernel4x12,0.0319809,1,1000,1000,1000,480,480,240,1
kernel10x12,0.0266569,1,1000,1000,1000,480,480,240,1
kernel14x16,0.0393187,1,1000,1000,1000,480,480,240,1
kernel18x20,0.0420386,1,1000,1000,1000,480,480,240,1
kernel12x24,0.0421365,1,1000,1000,1000,480,480,240,1
kernel12x32,0.0387121,1,1000,1000,1000,480,480,240,1
kernel8x16,0.424222,4,2000,2000,2000,480,480,240,1
kernel14x8,0.425053,4,2000,2000,2000,480,480,240,1
kernel4x12,0.543819,4,2000,2000,2000,480,480,240,1
kernel10x12,0.44675,4,2000,2000,2000,480,480,240,1
kernel14x16,0.633346,4,2000,2000,2000,480,480,240,1
kernel18x20,0.640013,4,2000,2000,2000,480,480,240,1
kernel12x24,0.641859,4,2000,2000,2000,480,480,240,1
kernel12x32,0.650245,4,2000,2000,2000,480,480,240,1
kernel8x16,0.0361537,1,1000,1000,1000,480,480,480,1
kernel14x8,0.037535,1,1000,1000,1000,480,480,480,1
kernel4x12,0.0399023,1,1000,1000,1000,480,480,480,1
kernel10x12,0.0337883,1,1000,1000,1000,480,480,480,1
kernel14x16,0.045024,1,1000,1000,1000,480,480,480,1
kernel18x20,0.0462141,1,1000,1000,1000,480,480,480,1
